GeneID,Chromosome,Peak_Start,Peak_End,Strand,,
Rad51l1,chr12,80734476,80734740,+,,
Cd83,chr13,43873226,43874233,+,,
Hvcn1,chr5,122669784,122670022,+,,
Cdyl2,chr8,119160032,119160208,+,,
Cd79b,chr11,106169373,106169871,+,,
Hoxa13,chr6,52201143,52209631,+,,
Relb,chr7,20214050,20214657,+,,
Irf4,chr13,30851528,30854584,+,,
Rbm20,chr19,53943837,53946619,+,,
Pvt1,chr15,62011743,62013711,+,,
Cd5,chr19,10815350,10815398,+,,
A430093F15Rik,chr19,10815350,10815398,+,,
Btg1,chr10,95863433,95863721,+,,
Sall3,chr18,81180977,81181921,+,,
Irgc1,chr7,25227181,25229352,+,,
Ubxn11,chr4,133651873,133655630,+,,
Cd52,chr4,133651873,133655630,+,,
Bmp2k,chr5,97408542,97410473,+,,
Mcl1,chr3,95454254,95457161,+,,
Spty2d1,chr7,54278005,54278184,+,,
Prkg1,chr19,31298451,31298906,+,,
Dnajc5b,chr3,19321366,19321746,+,,
Gm11932,chr4,32345145,32345392,+,,
Bach2,chr4,32345145,32345392,+,,
Tnfrsf8,chr4,144890215,144890319,+,,
Cdc37,chr9,20939987,20941274,+,,
H2-Aa,chr17,34427610,34435786,+,,
Gm20513,chr17,34427610,34435786,+,,
Tomm20,chr8,129363026,129363192,+,,
Gm10088,chr16,19007272,19007852,+,,
Dleu2,chr14,62306798,62307481,+,,
Traf2,chr2,25389134,25390872,+,,
Supv3l1,chr10,61912016,61913181,+,,
Zdhhc18,chr4,133178414,133178667,+,,
Tpd52,chr3,8983742,8984140,+,,
Cxcr4,chr1,130485994,130489908,+,,
Rassf2,chr2,131846741,131846884,+,,
U6,chr16,87653113,87653521,+,,
RP24-312B12.1,chr7,25905530,25905795,+,,
Pou2f2,chr7,25905530,25905795,+,,
Cd180,chr13,103483403,103483593,+,,
Wrap53,chr11,69392472,69395280,+,,
Trp53,chr11,69392472,69395280,+,,
C030013C21Rik,chr11,80320414,80323567,+,,
Myo1d,chr11,80320414,80323567,+,,
AC131596.1,chr10,95837055,95837423,+,,
Fam71b,chr11,46212698,46212877,+,,
Skil,chr3,30993381,30995465,+,,
Spen,chr4,141033563,141033988,+,,
Gm16956,chr12,100848585,100849261,+,,
Pou4f1,chr14,104856104,104866328,+,,
9030425E11Rik,chr9,40551899,40552162,+,,
Gm13564,chr2,62297349,62299248,+,,
Gm13561,chr2,62297349,62299248,+,,
Bcl10,chr3,145587676,145587900,+,,
H2-Q6,chr17,35559919,35561949,+,,
Mll5,chr5,22891290,22893547,+,,
Gimap4,chr6,48639549,48639633,+,,
Adora2a,chr10,74789515,74789670,+,,
Gm16174,chr7,20402089,20403414,+,,
Bcl3,chr7,20402089,20403414,+,,
Gm15754,chr5,118927807,118928117,+,,
Nkx2-3,chr19,43681185,43685002,+,,
Gm20467,chr19,43681185,43685002,+,,
Tnfrsf13c,chr15,82049119,82050052,+,,
H2-K2,chr17,34114760,34117905,+,,
Gm4152,chr17,34114760,34117905,+,,
Iqsec1,chr6,90701322,90702620,+,,
Tgif1,chr17,71197127,71202863,+,,
RP23-85E24.1,chr17,71197127,71202863,+,,
Grb7,chr11,98320659,98320792,+,,
Stx11,chr10,12683315,12684698,+,,
1700019O17Rik,chr1,88337278,88339599,+,,
Arhgap25,chr6,87501210,87504000,+,,
Pde4a,chr9,20965529,20966210,+,,
Gm12054,chr11,22592660,22593529,+,,
RP23-5H10.4,chr9,55386822,55394674,+,,
Isl2,chr9,55386822,55394674,+,,
Gm17226,chr9,55386822,55394674,+,,
Plcxd2,chr16,46001105,46001391,+,,
Mir5107,chr18,60961902,60970072,+,,
Cd74,chr18,60961902,60970072,+,,
Gm9989,chr3,81729848,81730004,+,,
Gm11613,chr11,97520501,97521247,+,,
Cd40,chr2,164880638,164882125,+,,
Traf1,chr2,34818452,34819351,+,,
Uap1,chr1,172105267,172105427,+,,
Gpbp1,chr13,112280510,112280677,+,,
Fcrl5,chr3,87291947,87292124,+,,
AC138214.1,chr1,82827818,82830194,+,,
Shank1,chr7,51567276,51567506,+,,
Foxp1,chr6,99000485,99000867,+,,
Glis2,chr16,4586759,4587673,+,,
Mir23a,chr8,86721023,86723167,+,,
Itpr1,chr6,108498290,108501043,+,,
Chst3,chr10,59628934,59632836,+,,
Sh2b3,chr5,122283763,122284428,+,,
1600012F09Rik,chr13,18067679,18067975,+,,
Jarid2,chr13,44613590,44613852,+,,
Gm16083,chr1,132447395,132447862,+,,
Plxnc1,chr10,94290239,94291657,+,,
Gm14488,chr2,30567607,30567773,+,,
Tpm3,chr3,89883759,89884684,+,,
Map4k1,chr7,29767395,29767956,+,,
Eif3k,chr7,29767395,29767956,+,,
Dennd4b,chr3,90068799,90069815,+,,
Pigv,chr4,133227032,133230837,+,,
Nr4a1,chr15,101084694,101089786,+,,
Cd37,chr7,52492953,52495719,+,,
Cuedc1,chr11,87921002,87921148,+,,
4933426M11Rik,chr12,81893943,81894101,+,,
Rgs13,chr1,146020334,146021321,+,,
Chst15,chr7,139507122,139509555,+,,
Soat1,chr1,158367363,158367853,+,,
Fgfr2,chr7,139507122,139509555,+,,
Ddx6,chr9,44383292,44383472,+,,
Cpd,chr11,76658527,76659996,+,,
Flt3,chr5,148150677,148151326,+,,
Trac,chr14,54841281,54844944,+,,
Foxc1,chr13,31900340,31902672,+,,
Wnt10a,chr1,74853254,74853387,+,,
Tlr1,chr5,65274161,65279891,+,,
Ankdd1a,chr9,65383028,65384280,+,,
Nr4a3,chr4,48057154,48062406,+,,
Egr3,chr14,70469143,70469409,+,,
Fam129c,chr8,74120638,74121731,+,,
Pgls,chr8,74120638,74121731,+,,
Myo1e,chr9,70090792,70093372,+,,
Ciita,chr16,10515553,10517041,+,,
Maml2,chr9,13340983,13341701,+,,
Sim2,chr16,94095897,94096518,+,,
4930595D18Rik,chr12,112398251,112398518,+,,
SNORA42,chr15,61271872,61274641,+,,
Fchsd2,chr7,108362367,108362566,+,,
Trac,chr14,54847086,54847695,+,,
Pebp4,chr14,70456850,70457280,+,,
Slc12a8,chr16,33606798,33607503,+,,
Spata5l1,chr2,122456092,122456970,+,,
Wasf2,chr4,132714948,132717357,+,,
Pds5a,chr5,66115828,66116204,+,,
Dnase1l3,chr14,8826335,8827715,+,,
Spib,chr7,51784002,51790346,+,,
Pold1,chr7,51784002,51790346,+,,
Cxcr4,chr1,130497953,130498316,+,,
Ebf3,chr7,144502462,144505484,+,,
Hmx3,chr7,138686622,138688887,+,,
Fgfr2,chr7,138686622,138688887,+,,
Rgs3,chr4,62290969,62291818,+,,
Gm11209,chr4,62290969,62291818,+,,
Gm16510,chr2,70466969,70468432,+,,
Zc3h12a,chr4,124801967,124802185,+,,
Nampt,chr12,33459577,33459872,+,,
Pax5,chr4,44684057,44684178,+,,
Gm12462,chr4,44684057,44684178,+,,
Itpr2,chr6,146219563,146219978,+,,
Lclat1,chr17,73596195,73596677,+,,
Gm15232,chrX,163557234,163557474,+,,
Cd83,chr13,43879675,43882198,+,,
H2-K1,chr17,34136254,34137788,+,,
Stap1,chr5,86515937,86516079,+,,
Gabpb1,chr2,126500920,126501472,+,,
Txndc11,chr16,11077611,11078170,+,,
Adck3,chr1,182129483,182129856,+,,
Zcchc6,chr13,59923733,59924595,+,,
Flt3,chr5,148163531,148163969,+,,
Gimap5,chr6,48694660,48698504,+,,
Gimap1,chr6,48694660,48698504,+,,
Ube2q1,chr3,89604935,89605987,+,,
Hoxa7,chr6,52169849,52171804,+,,
Ptger4,chr15,5364570,5364714,+,,
Hivep2,chr10,13805255,13806518,+,,
Ptger4,chr15,5395772,5397327,+,,
Stk10,chr11,32432565,32433202,+,,
Efcab9,chr11,32432565,32433202,+,,
Foxn3,chr12,100619234,100619391,+,,
9530052E02Rik,chr8,11096962,11099506,+,,
U6,chr12,114466574,114466668,+,,
Cd83,chr13,43857875,43861771,+,,
B4galt5,chr2,167200541,167201037,+,,
Cd47,chr16,49970606,49970898,+,,
Mapk6,chr9,75257850,75258083,+,,
4933433G15Rik,chr9,75257850,75258083,+,,
Dtx1,chr5,121137035,121139164,+,,
0610039K10Rik,chr2,163468532,163468627,+,,
Serinc3,chr2,163468532,163468627,+,,
Sema4d,chr13,51849489,51849737,+,,
Dock10,chr1,80754002,80754281,+,,
Nkx2-4,chr2,146907184,146916781,+,,
Hnf1b,chr11,83667199,83667915,+,,
Il21r,chr7,132742895,132743394,+,,
Rasgef1b,chr5,99681709,99682168,+,,
Zbtb10,chr3,9249596,9250286,+,,
Rps25-ps1,chr6,145224379,145225685,+,,
Camk2d,chr3,126454484,126454595,+,,
Itpkc,chr7,28013368,28013897,+,,
Gramd1a,chr7,31935617,31936973,+,,
G630030J09Rik,chr7,31935617,31936973,+,,
2310001H17Rik,chr6,129185818,129188672,+,,
Lbx1,chr19,45305939,45308562,+,,
Foxp1,chr6,99191549,99192307,+,,
Gm14871,chr17,48176291,48177306,+,,
9230110C19Rik,chr9,8017305,8017495,+,,
Hoxa10,chr6,52188299,52190404,+,,
4930405A21Rik,chr2,156545505,156546814,+,,
Dlgap4,chr2,156545505,156546814,+,,
Tnip1,chr11,54785666,54786111,+,,
Grap,chr11,61460755,61461039,+,,
Supt4h1,chr11,87558471,87558661,+,,
Gad1,chr2,70396356,70397878,+,,
1500002O10Rik,chr2,70396356,70397878,+,,
AW549877,chr15,3932698,3933026,+,,
Azin1,chr15,38400394,38400839,+,,
Cdc42bpa,chr1,181890262,181892596,+,,
Gramd3,chr18,56628636,56629446,+,,
Eif2c2,chr15,72985387,72986395,+,,
Slc11a1,chr1,74433045,74434639,+,,
Zbtb10,chr3,9245229,9246940,+,,
Atg16l2,chr7,108449598,108451180,+,,
Plekhm3,chr1,64972337,64972498,+,,
Dad1,chr14,54852639,54853238,+,,
Tomm20,chr8,129391078,129392045,+,,
7SK,chr8,86271355,86273677,+,,
Plaur,chr7,25235643,25235780,+,,
4930552P12Rik,chr19,55717778,55718162,+,,
4930523C07Rik,chr1,161974569,161975045,+,,
Cbx4,chr11,118949051,118950924,+,,
Emp3,chr7,53178261,53178540,+,,
Ccdc114,chr7,53178261,53178540,+,,
Pde4dip,chr3,97627870,97628071,+,,
U6,chr13,24577582,24580740,+,,
Lbh,chr17,73266502,73268812,+,,
Apobec3,chr15,79721613,79727377,+,,
Tnip1,chr11,54769211,54769907,+,,
Plag1,chr4,3856643,3866703,+,,
Chchd7,chr4,3856643,3866703,+,,
Timm8a2,chr14,122428694,122429448,+,,
Polg2,chr11,106640069,106641629,+,,
Gm17547,chr13,83865384,83870557,+,,
C130071C03Rik,chr13,83865384,83870557,+,,
Gm13445,chr2,35351581,35351753,+,,
Ttpal,chr2,163426187,163429816,+,,
Nfkbie,chr17,45691162,45697663,+,,
Rpl21-ps7,chr17,83675593,83678886,+,,
Adam17,chr12,21341437,21342305,+,,
Gm13334,chr2,18610912,18615780,+,,
Fam169b,chr7,75432730,75433033,+,,
Ppfibp2,chr7,114752886,114753640,+,,
Serp1,chr3,58319916,58322825,+,,
Mob3a,chr10,80157665,80159645,+,,
Ddx54,chr5,121072143,121072785,+,,
Gm16767,chr13,52179072,52179814,+,,
Rras2,chr7,121227370,121227513,+,,
Gm11928,chr4,32235277,32236571,+,,
SNORA42,chr15,61378091,61378750,+,,
Hivep2,chr10,13684287,13685005,+,,
Nr4a3,chr4,48054918,48056841,+,,
Slc28a3,chr13,58653267,58653852,+,,
Vars,chr17,35135150,35138545,+,,
D17H6S56E-5,chr17,35135150,35138545,+,,
Bmf,chr2,118371339,118372459,+,,
Tlx2,chr6,83020521,83021051,+,,
Suv420h2,chr7,4690796,4691721,+,,
Atp13a2,chr4,140538939,140539768,+,,
Wdfy4,chr14,33997787,34000144,+,,
Dad1,chr14,54849886,54851512,+,,
Sub1,chr15,11939712,11940969,+,,
Pdhx,chr2,102838462,102839959,+,,
Atr,chr9,95757416,95758089,+,,
1700065D16Rik,chr9,95757416,95758089,+,,
Prr7,chr13,55572795,55573172,+,,
Adap1,chr5,139779681,139779861,+,,
Dynlrb2,chr8,119001978,119002307,+,,
11-Sep,chr5,93580901,93582100,+,,
Cryaa,chr17,31890430,31890565,+,,
Mir146,chr11,43171777,43172798,+,,
Tyrobp,chr7,31179146,31180139,+,,
Gse1,chr8,123010659,123014845,+,,
Gm20388,chr8,123010659,123014845,+,,
Snx20,chr8,91160839,91163119,+,,
Gm16724,chr17,71236060,71236281,+,,
Gm16627,chr17,71236060,71236281,+,,
Cxcr5,chr9,44330846,44337112,+,,
5830416P10Rik,chr19,53508542,53508803,+,,
Ets2,chr16,95950188,95951890,+,,
Gm20388,chr8,123284108,123285259,+,,
AC121600.1,chr17,52301367,52303817,+,,
Tbl1xr1,chr3,21851258,21852872,+,,
Zhx2,chr15,57525147,57527540,+,,
Dusp22,chr13,30751520,30751665,+,,
Wwox,chr8,117938006,117938241,+,,
Klf10,chr15,38229083,38231041,+,,
Foxi3,chr6,70903956,70906677,+,,
Vmp1,chr11,86437870,86438074,+,,
Tapbp,chr17,34056284,34056638,+,,
Adamtsl4,chr3,95475011,95478119,+,,
U6,chr13,43993951,43994222,+,,
Lrrc32,chr7,105636775,105637123,+,,
4930552P12Rik,chr19,55742326,55742424,+,,
Agbl4,chr4,111072533,111072666,+,,
Gm10293,chr3,52442890,52443003,+,,
Smad3,chr9,63580452,63580851,+,,
Tmem55b,chr14,51550120,51550862,+,,
Nfkbia,chr12,56591720,56593839,+,,
1700113H08Rik,chr10,86568864,86571538,+,,
Gm11370,chr13,30828520,30829398,+,,
Shisa3,chr5,67996807,67999608,+,,
Gm14529,chrX,19921517,19922569,+,,
Zc3hav1,chr6,38304308,38304808,+,,
Uvrag,chr7,106291476,106292823,+,,
Traf1,chr2,34813767,34813930,+,,
Fgfr1op,chr17,8402581,8403787,+,,
Rftn1,chr17,50320198,50322185,+,,
Pde4b,chr4,102244362,102247357,+,,
Slc38a2,chr15,96538326,96541112,+,,
Nbn,chr4,15884672,15885908,+,,
Satb1,chr17,52043330,52043535,+,,
Plekha2,chr8,26177660,26179189,+,,
Scd1,chr19,44453420,44453901,+,,
1110038D17Rik,chr10,74908075,74909618,+,,
AC131596.1,chr10,95727853,95730114,+,,
Stim2,chr5,54386533,54386744,+,,
Gm20388,chr8,123321195,123321666,+,,
Rsl1,chr13,67273616,67274434,+,,
A930011G23Rik,chr5,99763902,99766648,+,,
7SK,chr16,84606536,84606655,+,,
Tlr9,chr9,106123270,106125738,+,,
BC031781,chr1,182778349,182781848,+,,
RNase_MRP,chr4,43505722,43505817,+,,
Ccdc107,chr4,43505722,43505817,+,,
Gm7856,chr16,91521957,91524729,+,,
Srgn,chr10,61964655,61973023,+,,
Pacs1,chr19,5273243,5274297,+,,
Sf3b2,chr19,5273243,5274297,+,,
Otx1,chr11,21902543,21903908,+,,
Gm17699,chr1,130663587,130664070,+,,
Fbxo11,chr17,88463625,88464070,+,,
Igf2bp1,chr11,95865031,95873406,+,,
Ptp4a2,chr4,129495849,129497517,+,,
Zic2,chr14,122874723,122882756,+,,
2610035F20Rik,chr14,122874723,122882756,+,,
Pgls,chr8,74115620,74116158,+,,
Lrrc33,chr16,32163096,32165719,+,,
Aak1,chr6,86798714,86799480,+,,
2310044K18Rik,chr7,90807936,90808305,+,,
Il16,chr7,90807936,90808305,+,,
Pcgf5,chr19,36449650,36450323,+,,
Fndc3c1,chrX,103678410,103680536,+,,
Prr5l,chr2,101636530,101638226,+,,
Wbp7,chr7,31374540,31374672,+,,
H2-Q7,chr17,35574481,35574812,+,,
Icam1,chr9,20819502,20820319,+,,
Gadd45b,chr10,80402656,80402716,+,,
Gm16912,chr17,29614299,29614810,+,,
Gm16988,chr10,37041103,37041271,+,,
Epb4.1l2,chr10,25079079,25079844,+,,
Rbks,chr5,31999899,32001237,+,,
Bre,chr5,31999899,32001237,+,,
Mrpl33,chr5,31999899,32001237,+,,
Slc9a8,chr2,167245551,167248164,+,,
Lphn2,chr3,148357884,148359933,+,,
Cyth1,chr11,118071713,118073992,+,,
Rmi1,chr13,58502171,58504413,+,,
Hnrnpk,chr13,58502171,58504413,+,,
Athl1,chr7,148126577,148128716,+,,
Vav1,chr17,57430275,57430425,+,,
Trim24,chr6,37845990,37846543,+,,
9130410C08Rik,chr4,114575512,114576352,+,,
Bcat2,chr7,52847300,52847602,+,,
Pbx4,chr8,72390696,72391330,+,,
Ccr6,chr17,8435301,8435511,+,,
Map3k8,chr18,4353371,4353525,+,,
Pdcd1lg2,chr19,29504540,29506212,+,,
Lpp,chr16,24627928,24630925,+,,
Ahcyl2,chr6,29788255,29788840,+,,
H2-Ea-ps,chr17,34484651,34485118,+,,
Ptprs,chr17,56582890,56583149,+,,
Plekho2,chr9,65389084,65390598,+,,
Ms4a1,chr19,11340443,11341471,+,,
4930526L06Rik,chr19,11340443,11341471,+,,
Rps6ka1,chr4,133399143,133399306,+,,
Gm12974,chr4,133369694,133370152,+,,
5830416P10Rik,chr19,53553544,53554610,+,,
Ly6e,chr15,74792941,74793491,+,,
Shisa5,chr9,108952569,108955622,+,,
Gm12596,chr4,59278123,59279196,+,,
Selplg,chr5,114282560,114282871,+,,
Spata13,chr14,61355562,61355876,+,,
Gbp9,chr5,105538673,105540520,+,,
Stat1,chr1,52170687,52170746,+,,
Gm12979,chr4,129173867,129174235,+,,
Spred2,chr11,19824261,19826583,+,,
Gm15642,chr11,109301366,109301764,+,,
Amz2,chr11,109301366,109301764,+,,
Gjc1,chr11,102678282,102680086,+,,
Elk3,chr10,92827740,92828020,+,,
Ralgps2,chr1,158916429,158916814,+,,
Map2k1,chr9,64089684,64091199,+,,
Cltc,chr11,86571037,86571305,+,,
Dock2,chr11,34595551,34598035,+,,
Gm9949,chr18,62323390,62324103,+,,
Lfng,chr5,141091912,141095757,+,,
Sit1,chr4,43485410,43488029,+,,
Exoc2,chr13,30884100,30884487,+,,
Iglc2,chr16,19152815,19153360,+,,
Usp5,chr6,124778959,124779219,+,,
Cdca3,chr6,124778959,124779219,+,,
Tlcd2,chr11,75273352,75275145,+,,
Mir22,chr11,75273352,75275145,+,,
2210403K04Rik,chr11,75273352,75275145,+,,
Nid1,chr13,13616089,13616805,+,,
7SK,chr16,84583248,84584436,+,,
Fem1b,chr9,62658641,62660416,+,,
Gm9949,chr18,62336340,62341061,+,,
Adrb2,chr18,62336340,62341061,+,,
Rpl3-ps1,chrX,12785060,12785454,+,,
Timm8a2,chr14,122459987,122460142,+,,
Nfkb1,chr3,135291781,135292120,+,,
Parp8,chr13,117812112,117813505,+,,
Aldh1a2,chr9,71064521,71065488,+,,
Eya1,chr1,14296458,14301048,+,,
Slc5a5,chr8,73409526,73409798,+,,
Gm17591,chr12,81105542,81106787,+,,
Gm11200,chr11,79021215,79021547,+,,
Grb2,chr11,115502524,115502931,+,,
Y_RNA,chr6,47585962,47587442,+,,
Tbc1d10a,chr11,4095739,4095955,+,,
Ms4a4c,chr19,11459105,11464484,+,,
Tcf4,chr18,69804276,69804476,+,,
Igf2bp3,chr6,49177358,49177679,+,,
Stk17b,chr1,53848081,53848960,+,,
Rilpl2,chr5,124924656,124925829,+,,
Mpeg1,chr19,12531916,12532135,+,,
Arid3a,chr10,79403626,79403795,+,,
Gm15323,chr13,112789124,112795164,+,,
Lonrf2,chr1,38834314,38834871,+,,
Lef1,chr3,130808863,130816639,+,,
5031414D18Rik,chr14,75424298,75425585,+,,
Erg,chr16,95678276,95681263,+,,
Phf15,chr11,51647062,51647170,+,,
Gm16201,chr7,147154277,147155037,+,,
Chst3,chr10,59624953,59625694,+,,
SNORA17,chr3,67360125,67362099,+,,
Gm16988,chr10,37058085,37058282,+,,
Gm12827,chr4,117164109,117168246,+,,
Rnf220,chr4,117164109,117168246,+,,
Gucy2c,chr6,136637272,136640110,+,,
Pkig,chr2,163488621,163488716,+,,
Sbk1,chr7,133429109,133429225,+,,
Cd3d,chr9,44794335,44795611,+,,
Dot1l,chr10,80214246,80214696,+,,
Fam43a,chr16,30686432,30686778,+,,
1810059C17Rik,chr2,17978507,17979254,+,,
Mllt10,chr2,17978507,17979254,+,,
Dmwd,chr7,19663259,19663381,+,,
Gm16998,chr10,53837108,53839610,+,,
Gm20388,chr8,124954046,124954501,+,,
Cyba,chr8,124954046,124954501,+,,
Ccr7,chr11,99032213,99033030,+,,
Nr6a1,chr2,38781609,38782596,+,,
Tcf12,chr9,71946634,71948460,+,,
Sfr1,chr19,47805586,47806414,+,,
Midn,chr10,79621823,79622932,+,,
Gm12148,chr11,43200847,43201996,+,,
Pik3ap1,chr19,41418623,41419815,+,,
Sdc4,chr2,164248087,164248484,+,,
Dnajb12,chr10,59362178,59362868,+,,
AI504432,chr3,106840144,106842334,+,,
Kcna3,chr3,106840144,106842334,+,,
Agbl1,chr7,83607592,83607715,+,,
Stat6,chr10,127078846,127081420,+,,
Acoxl,chr2,127742586,127742808,+,,
U1,chr3,96135434,96139713,+,,
Hvcn1,chr5,122663992,122664583,+,,
Ccdc11,chr18,74454657,74454819,+,,
Hook2,chr8,87508442,87510508,+,,
4930420K17Rik,chr5,9101101,9101697,+,,
Fabp5,chr3,9997407,9997535,+,,
Zeb1,chr18,5591102,5591808,+,,
RP23-278M16.2,chr18,5591102,5591808,+,,
Gm10125,chr18,5591102,5591808,+,,
Tomm20,chr8,129378131,129379032,+,,
Fgr,chr4,132529239,132530439,+,,
Meig1,chr2,3336107,3337584,+,,
Gm9025,chr13,112726320,112726878,+,,
2510003E04Rik,chr10,62005968,62006798,+,,
Fnbp1,chr2,30938231,30938590,+,,
Slc17a5,chr9,78375152,78375536,+,,
5730469M10Rik,chr14,41812697,41813930,+,,
Tor3a,chr1,158604366,158605333,+,,
Rilpl2,chr5,124927738,124929265,+,,
Rftn1,chr17,50296941,50297402,+,,
Trak1,chr9,121223218,121223427,+,,
Ifi30,chr8,73292047,73292501,+,,
Pik3r2,chr8,73292047,73292501,+,,
Gm12891,chr4,122609359,122611655,+,,
Lrrc33,chr16,32171164,32171393,+,,
Tlcd1,chr11,77990043,77992004,+,,
Nek8,chr11,77990043,77992004,+,,
Trib2,chr12,15594012,15594198,+,,
Igkj5,chr6,70673441,70679076,+,,
Igkj4,chr6,70673441,70679076,+,,
Igkc,chr6,70673441,70679076,+,,
Mir1904,chr13,110692737,110694366,+,,
Pde4d,chr13,110692737,110694366,+,,
Gm13353,chr2,18507451,18510112,+,,
Gimap1,chr6,48683036,48683201,+,,
