GeneID,Chromosome,Peak_Start,Peak_End,Strand
Gm14871,chr17,48176291,48177306,+
Pvt1,chr15,62011743,62013711,+
Scd1,chr19,44451053,44451289,+
Fam71b,chr11,46212698,46212877,+
Gpr132,chr12,114104025,114105984,+
Gm12827,chr4,117164109,117168246,+
Rnf220,chr4,117164109,117168246,+
4930415F15Rik,chr11,11406108,11406728,+
Plekha2,chr8,26177660,26179189,+
Ptger4,chr15,5395772,5397327,+
Grb7,chr11,98320659,98320792,+
Arid3a,chr10,79403626,79403795,+
Erg,chr16,95678276,95681263,+
Hist1h4c,chr13,23790302,23790371,+
Cd180,chr13,103483403,103483593,+
Spen,chr4,141033563,141033988,+
Il21r,chr7,132748656,132752933,+
Mef2c,chr13,83179728,83181074,+
Hivep1,chr13,42143946,42147255,+
Sh2b3,chr5,122287553,122288101,+
Gm10293,chr3,52442890,52443003,+
Tyrobp,chr7,31202525,31203172,+
Hcst,chr7,31202525,31203172,+
AC141471.1,chr18,36090008,36090216,+
Fem1b,chr9,62658641,62660416,+
Itpkc,chr7,28013368,28013897,+
Itsn1,chr16,91870421,91870944,+
Foxc1,chr13,31900340,31902672,+
Atp5o,chr16,91870421,91870944,+
Fbxo11,chr17,88463625,88464070,+
Lasp1,chr11,97659395,97661586,+
Igf2bp1,chr11,95865031,95873406,+
Sertad2,chr11,20431804,20432383,+
Tgif1,chr17,71197127,71202863,+
RP23-85E24.1,chr17,71197127,71202863,+
Itpr1,chr6,108498290,108501043,+
Jarid2,chr13,44633736,44633836,+
Nkx2-3,chr19,43685596,43691273,+
Gm20467,chr19,43685596,43691273,+
Hspe1,chr1,55143952,55145977,+
Hspd1,chr1,55143952,55145977,+
Gm10088,chr16,19007272,19007852,+
Dad1,chr14,54852639,54853238,+
U6,chr1,182756849,182758057,+
Ubxn11,chr4,133651873,133655630,+
Cd52,chr4,133651873,133655630,+
Gm13445,chr2,35351581,35351753,+
2310001H17Rik,chr6,129185818,129188672,+
Iqgap1,chr7,87919880,87919997,+
Acoxl,chr2,127742586,127742808,+
Plekhm1,chr11,103273792,103275772,+
Cass4,chr2,172226670,172226792,+
Cd83,chr13,43857875,43861771,+
Id2,chr12,25840322,25840784,+
Il2rg,chrX,98463042,98464420,+
Gm20489,chrX,98463042,98464420,+
Prr5l,chr2,101636530,101638226,+
Cblb,chr16,52060478,52061619,+
Slc15a3,chr19,10916779,10916971,+
Mcl1,chr3,95462210,95464439,+
4933426M11Rik,chr12,81893943,81894101,+
Icosl,chr10,77548970,77550673,+
Rad9,chr19,4201183,4201999,+
Tlr1,chr5,65274161,65279891,+
Sim1,chr10,50617571,50624213,+
Ptger4,chr15,5364570,5364714,+
Irgc1,chr7,25230559,25230818,+
Elk3,chr10,92816257,92817168,+
U6,chr16,87653113,87653521,+
Pfn1,chr11,70468077,70470107,+
Gm12319,chr11,70468077,70470107,+
Eno3,chr11,70468077,70470107,+
D730003I15Rik,chr1,193047860,193050119,+
Ets1,chr9,32527774,32527925,+
Gm10182,chr9,22128816,22129465,+
Gm13334,chr2,18616557,18623237,+
BC061194,chr2,18616557,18623237,+
Gtf2a1,chr12,92826812,92827313,+
Aftph,chr11,20638944,20642871,+
RP24-312B12.1,chr7,25905530,25905795,+
Rapgef1,chr2,29554090,29554388,+
Pou2f2,chr7,25905530,25905795,+
Lonrf2,chr1,38834314,38834871,+
Ddx6,chr9,44378631,44380428,+
2700038G22Rik,chr5,23380375,23380596,+
Stk10,chr11,32432565,32433202,+
Efcab9,chr11,32432565,32433202,+
Rad51l1,chr12,80734476,80734740,+
Igf2bp3,chr6,49177358,49177679,+
Gm14963,chr19,6276040,6276316,+
Ehd1,chr19,6276040,6276316,+
Cd47,chr16,49970606,49970898,+
Stk17b,chr1,53848081,53848960,+
Rps6ka1,chr4,133399143,133399306,+
Gm11932,chr4,32345145,32345392,+
Bach2,chr4,32345145,32345392,+
Mib1,chr18,10918350,10918642,+
Mpeg1,chr19,12531916,12532135,+
Ms4a1,chr19,11340443,11341471,+
4930526L06Rik,chr19,11340443,11341471,+
Rmi1,chr13,58502171,58504413,+
Hnrnpk,chr13,58502171,58504413,+
Soat1,chr1,158367363,158367853,+
Tfeb,chr17,47905727,47905971,+
Cdc37,chr9,20939987,20941274,+
0610039K10Rik,chr2,163468532,163468627,+
Serinc3,chr2,163468532,163468627,+
Ly6e,chr15,74792941,74793491,+
Uqcrfs1,chr13,30664730,30665443,+
Il10rb,chr16,91405917,91406260,+
RP23-190G10.4,chr16,91405917,91406260,+
Tomm20,chr8,129391078,129392045,+
Dennd4b,chr3,90068799,90069815,+
U6,chr7,80751770,80752153,+
Gm13067,chr4,149433626,149434396,+
Egr1,chr18,35018641,35022827,+
Slamf6,chr1,173850238,173851849,+
Perp,chr10,18642646,18643750,+
Srgn,chr10,61964655,61973023,+
Ppp1r16b,chr2,158492257,158492820,+
Ppp1r16b,chr2,158526170,158527156,+
Akt3,chr1,179274147,179274434,+
Gm16998,chr10,53837108,53839610,+
Gm16741,chr14,8606331,8607084,+
Gm10044,chr14,8606331,8607084,+
Lrrc33,chr16,32163096,32165719,+
Cxcr5,chr9,44321738,44324707,+
Bcl6,chr16,24151524,24152377,+
Gm12708,chr4,94945191,94945488,+
Nid1,chr13,13616089,13616805,+
Flt3,chr5,148163531,148163969,+
Rcsd1,chr1,167630935,167631475,+
Nkx3-2,chr5,42155919,42158568,+
Cass4,chr2,172230646,172230879,+
U6,chr16,55589363,55589820,+
Fndc3c1,chrX,103678410,103680536,+
Vamp1,chr6,125172237,125172409,+
4932442E05Rik,chr10,118241773,118241942,+
Fam129c,chr8,74120638,74121731,+
Pgls,chr8,74120638,74121731,+
Wdfy4,chr14,33997787,34000144,+
AC121600.1,chr17,52301367,52303817,+
Traf1,chr2,34818452,34819351,+
Gm10231,chr17,5802650,5803526,+
Sh2b3,chr5,122283763,122284428,+
Rasgef1b,chr5,99681709,99682168,+
Hivep2,chr10,13805255,13806518,+
Fam49a,chr12,12277402,12277561,+
Gm16767,chr13,52179072,52179814,+
Mir5107,chr18,60961902,60970072,+
Cd74,chr18,60961902,60970072,+
Supt4h1,chr11,87558471,87558661,+
4930595D18Rik,chr12,112398251,112398518,+
Trac,chr14,54847086,54847695,+
Grb2,chr11,115502524,115502931,+
Birc3,chr9,7872816,7873130,+
Acoxl,chr2,127834423,127835032,+
Cltc,chr11,86571037,86571305,+
Zfp36l1,chr12,81213782,81214483,+
Gm17591,chr12,81213782,81214483,+
Cd3d,chr9,44794335,44795611,+
H2-D1,chr17,35399544,35399951,+
Psma6,chr12,56490148,56491788,+
Tbc1d14,chr5,36905757,36905997,+
Shank1,chr7,51567276,51567506,+
Gm8369,chr19,11565388,11566960,+
RP23-406N5.8,chr4,147182615,147182826,+
Rgs3,chr4,62290969,62291818,+
Gm13157,chr4,147182615,147182826,+
Gm11209,chr4,62290969,62291818,+
Gm9949,chr18,62323390,62324103,+
Sub1,chr15,11939712,11940969,+
Rassf2,chr2,131848422,131849316,+
1700019O17Rik,chr1,88337278,88339599,+
Gm17699,chr1,130663587,130664070,+
Nfkbia,chr12,56591720,56593839,+
Bcl10,chr3,145587676,145587900,+
Treml2,chr17,48432879,48434098,+
Vegfa,chr17,46169245,46169421,+
Gm14469,chr2,78896136,78896564,+
Gramd1a,chr7,31934774,31935179,+
G630030J09Rik,chr7,31934774,31935179,+
Chst3,chr10,59679352,59683926,+
4933426M11Rik,chr12,81891485,81892529,+
Tle3,chr9,61089957,61091660,+
7SK,chr16,84583248,84584436,+
Tal1,chr4,114727543,114731994,+
Tpd52,chr3,8981907,8983466,+
Dennd4a,chr9,64645265,64645497,+
Runx1,chr16,92825440,92826926,+
Mir196b,chr6,52180674,52182954,+
Hoxa9,chr6,52180674,52182954,+
Apobec3,chr15,79721613,79727377,+
9930038K12Rik,chr6,52180674,52182954,+
Hoxa10,chr6,52180674,52182954,+
Tnfrsf8,chr4,144890215,144890319,+
Rftn1,chr17,50320198,50322185,+
Gm15232,chrX,163557234,163557474,+
Adam17,chr12,21341437,21342305,+
Col15a1,chr4,47316123,47316911,+
Gm20388,chr8,123321195,123321666,+
Ccr7,chr11,99029396,99029769,+
Sp9,chr2,73117808,73118919,+
Pkig,chr2,163488621,163488716,+
5830416P10Rik,chr19,53508542,53508803,+
Skil,chr3,30993381,30995465,+
Adora2a,chr10,74789515,74789670,+
Ahr,chr12,36395931,36397651,+
5830416P10Rik,chr19,53539293,53539418,+
Rbks,chr5,31999899,32001237,+
Cd5,chr19,10815350,10815398,+
Bre,chr5,31999899,32001237,+
A430093F15Rik,chr19,10815350,10815398,+
Mrpl33,chr5,31999899,32001237,+
Sub1,chr15,11943979,11944114,+
Rest,chr5,77718390,77719200,+
2510003E04Rik,chr10,62005968,62006798,+
Lef1,chr3,130808863,130816639,+
H2-DMb2,chr17,34279995,34280292,+
Dtx1,chr5,121142872,121147398,+
Nuak1,chr10,83574369,83574557,+
D1Ertd622e,chr1,99555978,99556447,+
Lrrc33,chr16,32171164,32171393,+
Ank,chr15,27525548,27527780,+
Gm20388,chr8,123641830,123643291,+
Foxc2,chr8,123641830,123643291,+
Pip5k1c,chr10,80759602,80762621,+
Foxp1,chr6,99000485,99000867,+
Egr3,chr14,70469143,70469409,+
Ppp2r4,chr2,30296555,30298355,+
Cd83,chr13,43873226,43874233,+
Pfpl,chr19,12509285,12509984,+
Nfkbie,chr17,45691162,45697663,+
AB041803,chr6,31119498,31119605,+
B4galt5,chr2,167192739,167194707,+
Smg1,chr7,125387479,125387995,+
4930583K01Rik,chr7,125387479,125387995,+
Myo1c,chr11,75466469,75467901,+
Psme1,chr14,56196774,56198659,+
Gm15932,chr14,56196774,56198659,+
U6,chr16,55636812,55637347,+
Ublcp1,chr11,44283820,44284051,+
Usp5,chr6,124778959,124779219,+
Snord14e,chr9,40607485,40610614,+
Snord14d,chr9,40607485,40610614,+
Snord14c,chr9,40607485,40610614,+
Hspa8,chr9,40607485,40610614,+
Cdca3,chr6,124778959,124779219,+
Mir155,chr16,84713034,84713568,+
Eif2ak3,chr6,70820899,70823094,+
Cytip,chr2,58007605,58009974,+
Enpp6,chr8,48025683,48029244,+
Sdc4,chr2,164248087,164248484,+
Lrrc32,chr7,105636775,105637123,+
Rgs13,chr1,146025542,146025709,+
Gm15569,chr15,86012657,86013497,+
Cerk,chr15,86012657,86013497,+
5031414D18Rik,chr14,75417643,75418235,+
Gm17446,chr14,103305529,103307368,+
Pde4a,chr9,20965529,20966210,+
Zswim6,chr13,108680821,108681062,+
Slc36a1,chr11,55017713,55017823,+
Wnt10a,chr1,74847179,74847363,+
Ubac2,chr14,122337674,122337983,+
Kdm6b,chr11,69221919,69225509,+
D1Ertd622e,chr1,99476705,99477704,+
Plekho2,chr9,65389084,65390598,+
Plekha2,chr8,26210549,26216971,+
SNORA4,chr3,143336995,143338524,+
Slc9a8,chr2,167245551,167248164,+
Sirt2,chr7,29550932,29551958,+
Nfkbib,chr7,29550932,29551958,+
Eya1,chr1,14296458,14301048,+
2010002N04Rik,chr18,60658846,60660637,+
Ano7,chr1,95298330,95298540,+
Zwilch,chr9,64020489,64021601,+
Supt4h1,chr11,87550768,87551769,+
SNORD18,chr9,64020489,64021601,+
Snord16a,chr9,64020489,64021601,+
SNORD16,chr9,64020489,64021601,+
Rpl4,chr9,64020489,64021601,+
Relb,chr7,20214050,20214657,+
Mir30d,chr15,68194835,68195106,+
Mcoln1,chr8,3500190,3500974,+
Eif3b,chr5,140894443,140895490,+
Ccdc99,chr11,34646887,34647334,+
Rhoq,chr17,87368230,87369908,+
Gm15848,chr1,132716818,132717880,+
Wnt10a,chr1,74853254,74853387,+
Il3ra,chr14,15177562,15179010,+
Hdgf,chr3,87709726,87710656,+
Rad51l1,chr12,80727011,80727574,+
RP24-312B12.1,chr7,25914742,25914979,+
Pou2f2,chr7,25914742,25914979,+
Gm16201,chr7,147154277,147155037,+
Napg,chr18,63137454,63137571,+
Veph1,chr3,65881910,65882349,+
Grap,chr11,61470119,61471431,+
Epn1,chr7,5052713,5053583,+
Bcl2l1,chr2,152651387,152651797,+
Snx29,chr16,11385900,11386198,+
Cyth1,chr11,118071713,118073992,+
4930552P12Rik,chr19,55742326,55742424,+
5830416P10Rik,chr19,53553544,53554610,+
Arhgap24,chr5,102910392,102910752,+
Ciita,chr16,10515553,10517041,+
Elk3,chr10,92827740,92828020,+
U6,chr13,43993951,43994222,+
Aff1,chr5,104173113,104174084,+
Jarid2,chr13,44613590,44613852,+
Lcp1,chr14,75576216,75581118,+
Vars,chr17,35135150,35138545,+
D17H6S56E-5,chr17,35135150,35138545,+
Traf2,chr2,25389134,25390872,+
Rabep2,chr7,133567485,133569297,+
C130071C03Rik,chr13,83854585,83860173,+
Gramd3,chr18,56628636,56629446,+
Filip1l,chr16,57549771,57550551,+
Fblim1,chr4,141143120,141143341,+
2610528E23Rik,chr16,57549771,57550551,+
Pebp4,chr14,70456850,70457280,+
Rab20,chr8,11464035,11464184,+
Foxo1,chr3,52247816,52248135,+
Cnr2,chr4,135455907,135456302,+
Grap,chr11,61460755,61461039,+
Nfe2l2,chr2,75519930,75521742,+
SNORA17,chrX,110981503,110981775,+
Tgfbr2,chr9,116046772,116046978,+
Lrrc32,chr7,105634759,105636074,+
Trac,chr14,54841281,54844944,+
Lpin1,chr12,16390372,16391599,+
Cbx4,chr11,118949051,118950924,+
Ptk2b,chr14,66818484,66819047,+
Jarid2,chr13,44895015,44896353,+
Cep63,chr9,102527691,102529423,+
Brd2,chr17,34253341,34260563,+
Anapc13,chr9,102527691,102529423,+
AI504432,chr3,106840144,106842334,+
Tpd52,chr3,8983742,8984140,+
Smad3,chr9,63580452,63580851,+
Kcna3,chr3,106840144,106842334,+
Atr,chr9,95757416,95758089,+
A730011L01Rik,chr11,119352384,119353216,+
1700065D16Rik,chr9,95757416,95758089,+
Tle3,chr9,61070122,61070375,+
Tomm20,chr8,129370623,129374608,+
Tbk1,chr10,121019790,121020700,+
Nfkb1,chr3,135291781,135292120,+
Mnt,chr11,74650574,74653035,+
Arhgap25,chr6,87501210,87504000,+
Sorl1,chr9,41950042,41950153,+
H2-Ab1,chr17,34393426,34395247,+
Arid3a,chr10,79388736,79390780,+
Gngt2,chr11,95695043,95697231,+
Dusp5,chr19,53603093,53604102,+
Aak1,chr6,86798714,86799480,+
Zfp652,chr11,95695043,95697231,+
Rbm38,chr2,172852460,172852643,+
Gm885,chr11,106623522,106624673,+
Gm14453,chr2,172852460,172852643,+
Abi3,chr11,95695043,95697231,+
2310001H17Rik,chr6,129182411,129185130,+
Arf6,chr12,70523357,70524140,+
Glis2,chr16,4586759,4587673,+
Sag,chr1,89743609,89744077,+
Junb,chr8,87499728,87502928,+
Slit3,chr11,34904311,34904756,+
Zufsp,chr10,33670488,33671263,+
Gm16062,chr11,59623146,59623561,+
Flcn,chr11,59623146,59623561,+
Grap,chr11,61474364,61474619,+
Cxcr4,chr1,130497953,130498316,+
Ndufa5,chr6,24477567,24477747,+
Dcaf6,chr1,167390474,167391736,+
Brp44,chr1,167390474,167391736,+
Asb15,chr6,24477567,24477747,+
Adssl1,chr12,113856356,113856483,+
2310044K18Rik,chr7,90807936,90808305,+
Il16,chr7,90807936,90808305,+
Wdfy2,chr14,63455951,63456267,+
Txnl4a,chr18,80403410,80403589,+
Mybpc2,chr7,51780635,51783637,+
Itpr3,chr17,27193559,27195128,+
Gm17640,chr14,63455951,63456267,+
Gm16286,chr18,80403410,80403589,+
3110002H16Rik,chr18,12326356,12327452,+
Spib,chr7,51780635,51783637,+
Prkcb,chr7,129460727,129461866,+
Iqsec1,chr6,90708290,90708452,+
Foxd1,chr13,99125473,99127932,+
Aff1,chr5,104181496,104183665,+
Gm8214,chr1,185627181,185627563,+
Plxnc1,chr10,94292068,94292514,+
Kcnb1,chr2,167014467,167015192,+
Gimap9,chr6,48625890,48626694,+
Ccnt2,chr1,129670321,129670954,+
Adsl,chr15,80778620,80779365,+
1110018N20Rik,chr2,167014467,167015192,+
Hoxa9,chr6,52175316,52177971,+
snoZ178,chr4,149229645,149231308,+
Cd86,chr16,36674695,36676271,+
Dus2l,chr8,108578158,108578458,+
Slc25a26,chr6,94468261,94468377,+
Myo1e,chr9,70090792,70093372,+
Hsp90ab1,chr17,45709200,45711303,+
Emr1,chr17,57486452,57486729,+
4930406D18Rik,chr3,100240811,100240902,+
Maml2,chr9,13340983,13341701,+
Tbl1xr1,chr3,21851258,21852872,+
Zdhhc18,chr4,133178414,133178667,+
Lphn2,chr3,148357884,148359933,+
Ttpal,chr2,163426187,163429816,+
H2-K2,chr17,34114760,34117905,+
Gm4152,chr17,34114760,34117905,+
Prkg1,chr19,31412495,31412609,+
Arhgap17,chr7,130511100,130514011,+
Tomm20,chr8,129405524,129406514,+
Shisa5,chr9,108952569,108955622,+
SNORA42,chr15,61378091,61378750,+
Ccdc88b,chr19,6932427,6932950,+
Atmin,chr8,119468178,119468483,+
St3gal5,chr6,72089639,72091301,+
1110038D17Rik,chr10,74908075,74909618,+
U6,chr12,114466574,114466668,+
Gm16724,chr17,71236060,71236281,+
Gm16627,chr17,71236060,71236281,+
Etv6,chr6,134170337,134170545,+
H2-Aa,chr17,34427610,34435786,+
Gm20513,chr17,34427610,34435786,+
Rhof,chr5,123577145,123580223,+
Gm17627,chr5,123577145,123580223,+
Ets2,chr16,95950188,95951890,+
Cenpe,chr3,134854927,134855558,+
Car2,chr3,14880393,14880599,+
Zc3h12a,chr4,124801967,124802185,+
Arhgef3,chr14,28168033,28169760,+
Rab21,chr10,114751570,114752203,+
Map3k8,chr18,4353371,4353525,+
8430419K02Rik,chr11,18772466,18777571,+
Cd200,chr16,45389265,45390427,+
Hivep2,chr10,13684287,13685005,+
SNORA61,chr3,130513031,130513387,+
D930015E06Rik,chr3,83843057,83843367,+
Cnot6l,chr5,96591236,96593502,+
Mcl1,chr3,95454254,95457161,+
Tmem163,chr1,129410287,129411374,+
Prkcd,chr14,31420978,31421819,+
Btg1,chr10,95863433,95863721,+
Athl1,chr7,148126577,148128716,+
Rgs10,chr7,135535556,135535974,+
Gm16083,chr1,132447395,132447862,+
Trim24,chr6,37845990,37846543,+
Ncf1,chr5,134708504,134708914,+
Zswim6,chr13,108647022,108647814,+
Nckap1,chr2,80419547,80419797,+
Dip2b,chr15,99890870,99891520,+
Smchd1,chr17,71828895,71829127,+
Phc2,chr4,128411714,128413128,+
Gfi1,chr5,108153360,108155277,+
A430072P03Rik,chr5,108153360,108155277,+
Mir142,chr11,87568189,87569430,+
A430104N18Rik,chr11,87568189,87569430,+
Gm9025,chr13,112726320,112726878,+
Dnase1l3,chr14,8826335,8827715,+
Pds5a,chr5,66115828,66116204,+
Mef2a,chr7,74517617,74518241,+
Sbk1,chr7,133429109,133429225,+
Slc11a1,chr1,74433045,74434639,+
Zfp710,chr7,87219505,87220321,+
Gm17041,chr9,107215205,107215686,+
Csk,chr9,57486944,57489327,+
Bmp2k,chr5,97408542,97410473,+
AC138214.1,chr1,82827818,82830194,+
Hpgds,chr6,65093736,65094840,+
St8sia4,chr1,97521001,97521793,+
Mettl6,chr14,32308110,32308380,+
Eaf1,chr14,32308110,32308380,+
Bahd1,chr2,118731243,118731580,+
Antxr2,chr5,98445670,98446202,+
4930552P12Rik,chr19,55717778,55718162,+
Sipa1,chr19,5660910,5663415,+
Ppp1r10,chr17,36052534,36054345,+
Mrps18b,chr17,36052534,36054345,+
Mir1894,chr17,36052534,36054345,+
Dbnl,chr11,5688416,5689007,+
Pnrc1,chr4,33333709,33335348,+
Spty2d1,chr7,54263569,54263967,+
Klhl21,chr4,151382859,151383059,+
Azi2,chr9,117949512,117950294,+
Acap1,chr11,69708235,69708481,+
AA987161,chr13,67710007,67710982,+
Gclc,chr9,77598364,77598628,+
BC024582,chr4,32651392,32652260,+
Bach2,chr4,32651392,32652260,+
Serinc4,chr2,121267419,121268697,+
Ell3,chr2,121267419,121268697,+
Mos,chr4,3801785,3802981,+
4930420K17Rik,chr5,9101101,9101697,+
2210414B05Rik,chr4,3583090,3583913,+
Gm16912,chr17,29614299,29614810,+
Klrb1f,chr6,128999009,128999422,+
Ufd1l,chr16,18811835,18812601,+
