GeneID,Chromosome,Peak_Start,Peak_End,Strand
Zc3h12a,chr4,124801837,124802298,+
Tbc1d10a,chr11,4095627,4095826,+
Skil,chr3,30992729,30992885,+
Notch2,chr3,97817234,97817446,+
Rhof,chr5,123578176,123580058,+
Gm17627,chr5,123578176,123580058,+
Gm10231,chr17,5803299,5803708,+
Il10rb,chr16,91405842,91407201,+
RP23-190G10.4,chr16,91405842,91407201,+
Gm16039,chr6,8435652,8436076,+
Gm16724,chr17,71235965,71236355,+
Gm16627,chr17,71235965,71236355,+
Apobec3,chr15,79731253,79731601,+
Cd74,chr18,60963114,60963470,+
Tomm20,chr8,129371110,129373951,+
Snord45c,chr3,153575896,153576057,+
Snord45b,chr3,153575896,153576057,+
SNORD45,chr3,153575896,153576057,+
Rabggtb,chr3,153575896,153576057,+
Gm16181,chr17,35355275,35356826,+
AC131596.1,chr10,95833523,95833883,+
Pde3b,chr7,121623403,121623659,+
H2-Ab1,chr17,34394487,34395184,+
Sirt2,chr7,29551232,29551608,+
Nfkbib,chr7,29551232,29551608,+
Zdhhc18,chr4,133178010,133178533,+
Zfp335,chr2,164736480,164737308,+
Gm11458,chr2,164736480,164737308,+
2310001H17Rik,chr6,129182818,129184100,+
Cd83,chr13,43860575,43860769,+
Antxr2,chr5,98462050,98462303,+
Fgd2,chr17,29530535,29531569,+
Cuedc1,chr11,87921006,87921178,+
Polg2,chr11,106640346,106640932,+
Grb7,chr11,98320256,98321018,+
Slc12a3,chr8,96889423,96889819,+
Rab21,chr10,114751516,114751935,+
Ptp4a2,chr4,129488772,129489050,+
Gm9989,chr3,81729796,81730139,+
Atf4,chr15,80085556,80086559,+
Tbck,chr3,132346794,132347080,+
Aimp1,chr3,132346794,132347080,+
Dus2l,chr8,108576429,108576940,+
Cyld,chr8,91220699,91221789,+
Smap2,chr4,120677163,120677540,+
4930595D18Rik,chr12,112398140,112398407,+
Spata13,chr14,61355199,61355948,+
Fhit,chr14,11285100,11286077,+
Gse1,chr8,123010839,123011934,+
Gm20388,chr8,123010839,123011934,+
Upf2,chr2,5871741,5872430,+
Cd69,chr6,129225233,129225849,+
Athl1,chr7,148126963,148128101,+
Ptger4,chr15,5396446,5396887,+
Hmha1,chr10,79495527,79496181,+
Nnmt,chr9,48366624,48367214,+
Dusp10,chr1,185803618,185803932,+
Wasf2,chr4,132715110,132715965,+
AC141471.1,chr18,36079272,36079996,+
Klf2,chr8,74845852,74846841,+
Map3k8,chr18,4294538,4296011,+
Arsg,chr11,109356328,109356589,+
H2-Ob,chr17,34376501,34376992,+
Il4ra,chr7,132724422,132725492,+
Rad51l1,chr12,80734513,80734835,+
Gm11029,chr12,114657155,114658792,+
Foxp1,chr6,99000315,99000852,+
Plekha2,chr8,26212335,26213947,+
Rasa3,chr8,13600147,13600533,+
Btg2,chr1,135989701,135990602,+
Foxo1,chr3,52247974,52248760,+
Sag,chr1,89724875,89725130,+
Vdac2,chr14,22650430,22650780,+
Psmd1,chr1,87960882,87961217,+
H2-Ea-ps,chr17,34484513,34485431,+
Arih1,chr9,59334060,59334725,+
Itgb3,chr11,104498307,104498758,+
5830416P10Rik,chr19,53515683,53516406,+
Actg1,chr11,120214787,120215292,+
Jak2,chr19,29311290,29311432,+
Arhgap11a,chr2,113688791,113689247,+
Zfp91,chr19,12871165,12871608,+
Lpxn,chr19,12871165,12871608,+
Rasa3,chr8,13686604,13686726,+
Hvcn1,chr5,122668895,122670870,+
Ahcyl2,chr6,29788522,29788909,+
Shisa5,chr9,108953286,108954482,+
Hip1r,chr5,124423184,124423745,+
Zfp36l2,chr17,84518730,84519536,+
Dennd4b,chr3,90068648,90069969,+
Pes1,chr11,3863676,3864152,+
4930556J24Rik,chr11,3863676,3864152,+
Grap,chr11,61460689,61460964,+
Pik3r5,chr11,68312111,68312541,+
Btg2,chr1,135959569,135960324,+
B4galt5,chr2,167207130,167207476,+
Wwox,chr8,117937983,117938225,+
Nol8,chr13,49748065,49748666,+
Cenpp,chr13,49748065,49748666,+
Trib1,chr15,59484419,59484860,+
Pnrc1,chr4,33334592,33335188,+
Amz2,chr11,109287415,109287528,+
Mir1195,chr17,71235965,71236355,+
Arid1a,chr4,133369648,133370099,+
5031425E22Rik,chr5,22924087,22924451,+
A530013C23Rik,chr2,167602603,167603128,+
Pgghg,chr7,148126963,148128101,+
Bcl2l11,chr2,127834436,127834854,+
0610009L18Rik,chr11,120214787,120215292,+
Fam49b,chr15,63906886,63907514,+
Gm2176,chr18,80807621,80809400,+
Plbd1,chr6,136638552,136638908,+
Nfatc3,chr8,108578149,108578830,+
0610005C13Rik,chr7,52847308,52847522,+
A430035B10Rik,chr6,8435652,8436076,+
4933433H22Rik,chr17,84518730,84519536,+
Selenof,chr3,144233515,144234026,+
Amz2,chr11,109281462,109281611,+
H2-Eb1,chr17,34438170,34438517,+
4933432I03Rik,chr14,103436298,103436628,+
Gm2848,chr13,52667650,52668301,+
A530013C23Rik,chr2,167579387,167579747,+
1700029H14Rik,chr8,13600147,13600533,+
Rnf19b,chr4,128709782,128710804,+
Mir3089,chr2,30567405,30568005,+
Il21r,chr7,132724422,132725492,+
Gm15706,chr6,145224438,145224924,+
Cd83,chr13,43993834,43994403,+
Ccdc124,chr8,73389398,73389770,+
Gm10584,chr7,139507552,139508581,+
Adam6b,chr12,114657155,114658792,+
Sde2,chr1,182780258,182781237,+
Cxcr4,chr1,130601750,130602016,+
Mir7681,chr1,53907877,53908490,+
Adam6b,chr12,114663791,114668091,+
2010010A06Rik,chr18,75446522,75446730,+
5031425E22Rik,chr5,22892288,22892980,+
Egr3,chr14,70465921,70466146,+
Gm12596,chr4,59344618,59344897,+
Lao1,chr4,118672278,118672517,+
Traf3,chr12,112398140,112398407,+
Lta,chr17,35355275,35356826,+
1700056E22Rik,chr1,185803618,185803932,+
Gm44505,chr19,12871165,12871608,+
Slc45a1,chr4,149940174,149940510,+
3300005D01Rik,chr17,5803299,5803708,+
Herpud1,chr8,96889423,96889819,+
Uchl4,chr9,64090394,64090660,+
Pik3r6,chr11,68312111,68312541,+
Gm20098,chr17,52301778,52302793,+
Nfatc3,chr8,108576429,108576940,+
4921525O09Rik,chr13,52178645,52179982,+
Smndc1,chr19,53499154,53499454,+
Slc16a6,chr11,109356328,109356589,+
Mirt1,chr19,53508506,53508786,+
4930459C07Rik,chr10,95833523,95833883,+
Psd2,chr18,36079272,36079996,+
Ctso,chr3,81729796,81730139,+
Mirt1,chr19,53539105,53539767,+
Mir146,chr11,43198647,43199024,+
Htra4,chr8,26178462,26178999,+
4930459C07Rik,chr10,95836848,95837584,+
Egr3,chr14,70456760,70457496,+
H2-Aa,chr17,34432500,34433619,+
Polr2e,chr10,79495527,79496181,+
Il21r,chr7,132732342,132732528,+
Yae1d1,chr13,18067562,18067971,+
9430078K24Rik,chr12,80734513,80734835,+
Fasl,chr1,163664496,163664673,+
Prlr,chr15,10004599,10005507,+
H2-Aa,chr17,34430445,34430747,+
Atg16l2,chr7,108362160,108362929,+
Fam83d,chr2,158544920,158545213,+
Maf,chr8,117937983,117938225,+
Rasgef1b,chr5,99765101,99766028,+
Med13l,chr5,118927615,118928466,+
Nr4a1,chr15,101076695,101077039,+
Mirt1,chr19,53554092,53554348,+
I730028E13Rik,chr9,61016687,61016950,+
5430437J10Rik,chr15,5396446,5396887,+
Mirt1,chr19,53515683,53516406,+
