GeneID,Chromosome,Peak_Start,Peak_End,Strand
Gpbp1,chr13,112280562,112280682,+
Slc32a1,chr2,158437620,158439776,+
Gm14205,chr2,158437620,158439776,+
Gm14204,chr2,158437620,158439776,+
Dusp2,chr2,127161042,127162222,+
Astl,chr2,127161042,127162222,+
Zic5,chr14,122862333,122867896,+
4930595D18Rik,chr12,112398131,112398396,+
Junb,chr8,87499503,87502934,+
Dennd4b,chr3,90068059,90071043,+
Runx2,chr17,44872504,44874950,+
Gm10497,chr17,44872504,44874950,+
Cdkn2a,chr4,88927195,88927696,+
Gimap1,chr6,48682878,48683030,+
Nr6a1,chr2,38777441,38781142,+
Grb7,chr11,98318434,98323133,+
Mab21l2,chr3,86347932,86352396,+
Lrba,chr3,86347932,86352396,+
Mafa,chr15,75574962,75576480,+
Sox4,chr13,29041022,29046378,+
Gm17419,chr13,29041022,29046378,+
Mir9-2,chr13,83873402,83879676,+
C130071C03Rik,chr13,83873402,83879676,+
Hoxa10,chr6,52188941,52190119,+
Gm17591,chr12,81213755,81215380,+
Zfp36l1,chr12,81213755,81215380,+
Relb,chr7,20214579,20214993,+
Cbx8,chr11,118902798,118905720,+
Rad51l1,chr12,80940700,80944561,+
Stk10,chr11,32442768,32443157,+
H3f3a,chr1,182740503,182745454,+
Gm16067,chr1,182740503,182745454,+
AC073553.3,chr12,114664647,114666492,+
AC073553.2,chr12,114664647,114666492,+
AC073553.1,chr12,114664647,114666492,+
Nkx2-5,chr17,26979062,26984020,+
Hook2,chr8,87509830,87510070,+
2810030E01Rik,chr2,17970422,17972672,+
Foxl2,chr9,98856801,98859159,+
Foxl2os,chr9,98856801,98859159,+
Acoxl,chr2,127832492,127836689,+
Gsx2,chr5,75478156,75481633,+
Insm1,chr2,146044883,146051468,+
Atp13a2,chr4,140539314,140539619,+
Eya1,chr1,14492900,14495833,+
Gm17547,chr13,83856600,83863553,+
C130071C03Rik,chr13,83856600,83863553,+
A930004D18Rik,chr2,17950459,17950891,+
Neurog2,chr3,127331123,127338869,+
Gm12606,chr4,88919281,88920289,+
Dmrt3,chr19,25680917,25681649,+
Serinc3,chr2,163467956,163471273,+
0610039K10Rik,chr2,163467956,163471273,+
Tnfaip3,chr10,18734703,18735610,+
Gsx2,chr5,75472118,75475008,+
Rftn1,chr17,50321759,50322052,+
Tbx2,chr11,85646868,85648487,+
2610027K06Rik,chr11,85646868,85648487,+
Sufu,chr19,46540745,46542490,+
Dclre1a,chr19,56605160,56605367,+
Stk17b,chr1,53830893,53831112,+
Lhx1,chr11,84336335,84337998,+
2010013B24Rik,chr6,145254318,145257797,+
1500016L03Rik,chr11,84336335,84337998,+
Pim1,chr17,29627518,29631550,+
Gm16912,chr17,29627518,29631550,+
Ing1,chr8,11556913,11559104,+
Gm7854,chr5,43623982,43626849,+
Cpeb2,chr5,43623982,43626849,+
Picalm,chr7,97277207,97279005,+
2310010J17Rik,chr7,97277207,97279005,+
Hey1,chr3,8664648,8667326,+
Gm11538,chr11,96064900,96065776,+
Fam49a,chr12,12308125,12309343,+
Wasf1,chr10,40602700,40606467,+
Cdc40,chr10,40602700,40606467,+
4932442L08Rik,chrX,91609106,91612708,+
Apoo,chrX,91609106,91612708,+
8430419K02Rik,chr11,18772525,18778580,+
D17H6S56E-5,chr17,35136649,35138636,+
Vars,chr17,35136649,35138636,+
Nfkbid,chr7,31205890,31210850,+
Hcst,chr7,31205890,31210850,+
St6gal1,chr16,23286573,23287721,+
Sema4d,chr13,51849516,51849631,+
C430049B03Rik,chrX,50412030,50413226,+
2310015A10Rik,chr12,81231801,81232482,+
Gm20388,chr8,125225851,125226524,+
Cbfa2t3,chr8,125225851,125226524,+
Gad1-ps,chr10,98922365,98924532,+
4933407C03Rik,chr8,119999751,120000009,+
Haao,chr17,84245269,84245865,+
Pecam1,chr11,106530229,106531411,+
Adora2a,chr10,74789359,74789537,+
C230035I16Rik,chr13,23524533,23524855,+
Mgat1,chr11,49062855,49064713,+
Gjc1,chr11,102680482,102681927,+
Sgms1,chr19,32328134,32331218,+
Gm16767,chr13,52179177,52179803,+
Laptm5,chr4,130471623,130471876,+
Inpp4b,chr8,83877209,83877807,+
AL596123.1,chr11,97520814,97524498,+
Mllt6,chr11,97520814,97524498,+
Gm11613,chr11,97520814,97524498,+
Nkx2-5,chr17,26986091,26987771,+
Tbx2,chr11,85649583,85652698,+
Zfhx3,chr8,111225546,111228194,+
U6,chr12,114466507,114466698,+
Nfkb2,chr19,46378192,46381111,+
Mll5,chr5,22892147,22893788,+
Fndc3c1,chrX,103678409,103680545,+
Sh2b3,chr5,122283961,122284069,+
Swap70,chr7,117429816,117430126,+
Ttpal,chr2,163426056,163429232,+
Pip5k1c,chr10,80759912,80762588,+
Gm16174,chr7,20402784,20403147,+
Bcl3,chr7,20402784,20403147,+
Pisd-ps1,chr11,3005333,3006241,+
AC131596.1,chr10,95793015,95797637,+
Cbx8,chr11,118907032,118908851,+
Tgif1,chr17,71199243,71199461,+
RP23-103L13.8,chr6,52161445,52166717,+
Hoxa7,chr6,52161445,52166717,+
Hoxa3,chr6,52161445,52166717,+
2700086A05Rik,chr6,52161445,52166717,+
Hoxa6,chr6,52161445,52166717,+
Mos,chr4,3800420,3804219,+
Lhx2,chr2,38209773,38212627,+
Ern1,chr11,106346337,106349269,+
Sdc4,chr2,164266756,164266881,+
Chd2,chr7,80682564,80682764,+
Cd1d1,chr3,86821794,86821866,+
Fgd2,chr17,29529425,29533194,+
Rbm38,chr2,172852334,172852680,+
Gm14453,chr2,172852334,172852680,+
Pax5,chr4,44682246,44685818,+
Gm12462,chr4,44682246,44685818,+
5830416P10Rik,chr19,53515887,53516136,+
Cmtm6,chr9,114661146,114662648,+
Ildr1,chr16,36708630,36713002,+
Ptpn6,chr6,124679911,124680451,+
Gm20531,chr6,124679911,124680451,+
Chst3,chr10,59631189,59631571,+
Evx2,chr2,74489295,74493056,+
Pitx2,chr3,128916490,128922215,+
1010001N08Rik,chr18,11048055,11052249,+
Gata6,chr18,11048055,11052249,+
Zfhx3,chr8,111223731,111224676,+
Lhx9,chr1,140742029,140744044,+
Gpx5,chr13,21366669,21368348,+
4930597A21Rik,chr11,44388387,44389394,+
Gm20388,chr8,123284101,123285284,+
Slc25a26,chr6,94467988,94468928,+
Rax,chr18,66094533,66097991,+
Ier2,chr8,87183546,87189386,+
Raxos1,chr18,66094533,66097991,+
Gm2529,chr8,87183546,87189386,+
Tsc22d2,chr3,58217944,58221643,+
Meis1,chr11,18914287,18919107,+
Gm16141,chr11,18914287,18919107,+
Sag,chr1,89724874,89725179,+
Rel,chr11,23670376,23671578,+
Cd74,chr18,60963131,60964206,+
Prdm14,chr1,13115217,13117697,+
Amz2,chr11,109286683,109286919,+
Tfeb,chr17,47905627,47905984,+
7SK,chr8,86270691,86274253,+
Sall3,chr18,81183818,81186193,+
C430042M11Rik,chr17,84250109,84250413,+
U3,chr11,87256784,87257545,+
Tex14,chr11,87256784,87257545,+
Cdkn2a,chr4,88926235,88926920,+
Foxd3,chr4,99323429,99327691,+
BX005053.1,chr4,99323429,99327691,+
Gm12688,chr4,99323429,99327691,+
Lmna,chr3,88313910,88314233,+
Pou3f2,chr4,22409513,22413371,+
Nnmt,chr9,48366689,48367216,+
Plekha2,chr8,26178402,26179220,+
U6,chr4,125879607,125880362,+
Thrap3,chr4,125879607,125880362,+
Meis1,chr11,18772525,18778580,+
Adam6b,chr12,114664647,114666492,+
5730488B01Rik,chr4,44682246,44685818,+
Mir7078,chr8,119999751,120000009,+
Haao,chr17,84250109,84250413,+
4921525O09Rik,chr13,52179177,52179803,+
Zic2,chr14,122884036,122891285,+
Raet1a,chr10,21870520,21877624,+
Dmrt3,chr19,25678505,25678957,+
Gm20110,chr10,98922365,98924532,+
Htra4,chr8,26178402,26179220,+
Mir6906,chr10,59631189,59631571,+
Adgre5,chr8,86270691,86274253,+
Tmem121,chr12,114466507,114466698,+
4930459C07Rik,chr10,95793015,95797637,+
Nkx2-3,chr19,43682321,43683335,+
Gm17762,chr2,17950459,17950891,+
Trim8,chr19,46540745,46542490,+
Traf3,chr12,112398131,112398396,+
Fcgr1,chr3,96135421,96140563,+
Fcgr1,chr3,96143879,96145947,+
Chd7,chr4,8573944,8578085,+
9430078K24Rik,chr12,80940700,80944561,+
Spag6,chr2,18609160,18624008,+
Commd3,chr2,18507607,18510344,+
Bcl2l11,chr2,127832492,127836689,+
Mirt1,chr19,53515887,53516136,+
5031425E22Rik,chr5,22892147,22893788,+
Gm20098,chr17,52302122,52302196,+
Foxd2,chr4,114572999,114578341,+
Skida1,chr2,17970422,17972672,+
Cdkn2a,chr4,88919281,88920289,+
Irf8,chr8,123284101,123285284,+
Gm15706,chr6,145254318,145257797,+
